# Time-averaged data for fix 3
# TimeStep c_output_pressure v_lx v_ly v_lz
231000 -4.11479 35.958 160.796 22.2147
232000 9.19886 36.0339 160.76 22.1865
233000 -12.2104 36.0176 160.823 22.1507
234000 3.59642 36.0184 160.527 22.1343
235000 -3.09652 35.9323 160.757 22.1811
236000 5.05715 35.906 160.848 22.1967
237000 1.84381 35.8784 160.868 22.1949
238000 7.23647 35.8535 160.797 22.1866
239000 -4.70989 35.9633 160.726 22.1844
240000 6.13071 35.9489 160.768 22.1881
241000 2.24355 35.9857 160.793 22.1714
242000 -5.5131 35.9206 160.815 22.1974
243000 5.61419 35.8909 160.926 22.2112
244000 -2.3964 35.8752 161.185 22.2197
245000 -0.141823 35.9182 160.91 22.2057
246000 4.97717 35.9457 160.825 22.195
247000 -0.774752 35.9326 160.892 22.2118
248000 5.92152 35.959 160.702 22.1854
249000 5.02558 35.9758 160.685 22.162
250000 -21.4857 35.9887 160.884 22.1747
251000 9.05184 35.9575 160.985 22.1737
252000 10.7147 35.9731 160.771 22.1926
253000 -5.73031 36.0144 160.691 22.1819
254000 -1.91561 35.9217 160.939 22.2337
255000 4.6476 35.9196 160.87 22.241
256000 -7.49986 35.9842 160.752 22.1944
257000 10.1263 35.9564 160.882 22.2021
258000 -10.1875 36.0368 160.881 22.1957
259000 10.7755 36.0018 160.83 22.172
260000 6.51537 35.9623 160.855 22.2001
261000 2.41075 35.9499 160.917 22.2236
262000 -1.97944 35.9793 160.786 22.2044
263000 5.09778 36.0119 160.741 22.1789
264000 2.70051 36.0082 160.612 22.2028
265000 -8.43848 35.9408 160.942 22.218
266000 6.69752 35.9855 160.65 22.216
267000 -8.22832 35.9287 160.692 22.2051
268000 3.89023 35.9695 160.746 22.1886
269000 3.9695 35.9495 160.858 22.2224
270000 8.45643 35.9553 160.848 22.2178
271000 -0.551153 36.0068 160.694 22.1929
272000 -9.86444 35.9621 160.865 22.2395
273000 6.39987 35.9186 160.899 22.2379
274000 10.7708 35.9436 160.848 22.2046
275000 -13.7175 35.9826 160.997 22.197
276000 3.20367 36.006 160.891 22.1969
277000 -3.57318 35.9985 160.906 22.2591
278000 5.33946 35.9732 160.947 22.2421
279000 7.54175 36.0372 160.653 22.2045
280000 -3.52022 36.0911 160.494 22.1878
281000 -5.2303 36.0217 160.796 22.2026
282000 4.9621 36.014 160.567 22.2132
283000 -1.82632 36.0452 160.389 22.211
284000 9.83673 35.959 160.932 22.2272
285000 -3.22387 36.0204 160.734 22.2256
286000 2.19417 36.0939 160.348 22.1591
287000 -14.8379 36.1657 160.375 22.1866
288000 20.6405 35.9946 160.614 22.2612
289000 -3.6907 36.0234 160.602 22.2385
290000 -10.9057 36.1119 160.511 22.1953
291000 9.50671 35.9829 160.509 22.2149
292000 0.868668 36.0785 160.47 22.1669
293000 1.42095 36.0314 160.742 22.213
294000 14.3568 35.9861 160.735 22.2281
295000 -4.18529 36.0639 160.284 22.2156
296000 3.69667 36.1181 160.486 22.1701
297000 -1.14262 36.054 160.608 22.2008
298000 -0.615912 35.9999 160.767 22.2101
299000 1.8423 36.0625 160.556 22.1971
300000 -8.52877 36.0938 160.435 22.1898
301000 4.4303 36.0071 160.79 22.19
302000 2.18345 36.0457 160.591 22.2076
303000 -2.46599 36.1091 160.591 22.1943
304000 9.1969 35.9589 160.835 22.221
305000 4.69845 36.0068 160.753 22.2311
306000 -12.1763 35.9928 160.464 22.2208
307000 6.85612 36.0029 160.516 22.2066
308000 6.47228 36.0315 160.612 22.2151
309000 -4.83373 36.0325 160.618 22.2413
310000 2.06452 35.9644 160.565 22.2421
311000 -2.06963 36.1122 160.496 22.2158
312000 2.97846 36.0777 160.646 22.2271
313000 0.769328 36.0852 160.473 22.2101
314000 5.99349 36.0139 160.555 22.2148
315000 -0.7313 36.0545 160.527 22.2257
316000 -11.5218 36.0763 160.583 22.2199
317000 7.113 36.1392 160.391 22.1755
318000 9.54462 36.0683 160.518 22.1887
319000 -6.26659 36.0199 160.741 22.2248
320000 -2.20103 36.0395 160.77 22.2407
321000 -0.648236 36.0982 160.469 22.2076
322000 8.90235 36.1221 160.457 22.1973
323000 -5.03808 36.1182 160.522 22.1522
324000 6.76981 36.1116 160.444 22.1965
325000 -0.911338 35.9973 160.823 22.231
326000 2.32273 36.1496 160.592 22.1909
327000 0.140581 36.0466 160.664 22.217
328000 6.65599 36.0441 160.551 22.2418
329000 0.801058 36.0817 160.606 22.1835
330000 3.93811 36.0195 160.722 22.2045
331000 8.68169 36.0899 160.611 22.1947
332000 27.3213 36.1263 160.406 22.1777
333000 9.71765 36.1139 160.442 22.1805
334000 27.8322 36.0632 160.567 22.1821
335000 52.5627 36.0127 160.532 22.232
336000 49.5419 36.0251 160.489 22.2237
337000 73.3901 36.0363 160.543 22.1685
338000 68.3704 36.053 160.63 22.1903
339000 93.214 36.0439 160.48 22.1848
340000 93.937 36.1625 160.262 22.1351
341000 109.585 36.0569 160.511 22.1374
342000 114.73 36.0921 160.263 22.1308
343000 131.24 36.0893 160.348 22.1207
344000 116.546 36.0625 160.349 22.1451
345000 157.505 36.1169 160.219 22.1073
346000 155.032 36.0175 160.444 22.1406
347000 170.176 36.0937 160.141 22.1002
348000 186.97 36.1001 160.213 22.0559
349000 174.557 36.0769 160.379 22.0733
350000 194.459 36.0787 160.305 22.1343
351000 214.081 36.1005 160.118 22.1263
352000 204.988 36.0355 160.301 22.1066
353000 236.001 36.0412 160.213 22.107
354000 232.832 36.0327 160.385 22.0897
355000 243.492 36.001 160.237 22.1012
356000 249.596 36.1425 160.29 22.0626
357000 279.086 36.0884 160.122 22.0811
358000 283.696 36.0663 159.996 22.0573
359000 275.692 36.0754 160.105 22.0898
360000 303.096 36.0566 160.15 22.0807
361000 296.255 36.113 159.878 22.0758
362000 313.19 36.0761 159.872 22.0552
363000 319.81 36.0565 160.083 22.0541
364000 344.345 36.1385 160.032 22.0288
365000 336.521 36.124 159.783 22.0365
366000 360.307 36.0475 160.036 22.0248
367000 369.69 36.0731 160.038 22.0308
368000 383.393 36.1362 159.743 22.011
369000 378.435 36.0927 160.032 21.9812
370000 392.531 36.0462 160.049 21.9959
371000 421.834 36.0652 159.706 22.0207
372000 414.593 36.0083 159.957 22.0253
373000 418.969 36.0798 160.006 21.9768
374000 429.987 36.0101 159.862 22.0177
375000 452.66 36.0013 159.804 21.9953
376000 464.715 36.0905 159.927 21.9371
377000 454.81 36.0458 159.763 21.9822
378000 488.08 35.9885 159.87 21.9548
379000 492.253 36.0414 159.766 21.9539
380000 488.41 36.1441 159.624 21.918
